movie_name,id,short_comment,score,comment_time,votes
三千年的渴望,被关起来的陀螺,硬核的乔治·米勒带来了他温柔诗意叙事学剖析，《三千年的思念》在《阿拉丁》和《一千零一夜》骨架上，长出血肉丰满的异想奇幻之躯。电影讲述了一个浪漫瑰丽的史诗：蒂尔达·斯温顿饰演一位看似无欲无求、实则充满奇思妙想的学者Alithea，她无意中释放了被囚禁于瓶中的精灵，却苦苦许不出三个心底的愿望来解开精灵的诅咒。在她听完了精灵三千年的经历之后，她深深迷恋上了这位讲故事的人，她许愿恳求精灵爱上她，化解她内心的孤独…时空轮回的流转被乔治·米勒处理得精致又缤纷，传统的神话/童话结构托起了一个关于当代生活和爱情观的寓言。仙姑的表演再一次令人称绝，服装套套高级美丽，且她略带nerdy气质的实在太可爱迷人——爱上精灵或者被精灵爱上，还有谁能比她更适合这样的剧情呢？,4,2022-05-21 21:00:17,75
三千年的渴望,豆友3011868,最后的节奏处理问题很大，有很多假结尾，此外都很棒。女主角色特别像我本科老师，一个研究荷马的叙事学家，一个改变了我一生的老太太。所以看了十分钟就下意识对影片有了好感。,4,2022-05-21 17:46:40,59
三千年的渴望,原味乱码圣母,#Cannes2022 比我预期好太多了，怎么可以这么悲伤、孤独又快乐,5,2022-05-22 02:31:30,57
三千年的渴望,Clarice,一个还挺好看的童话故事。只是我看Tilda，总觉得她有种超越性别的美，因此不是很容易在她身上看到对爱的渴望。以及，随便看个电影还把麦克斯韦方程组看出来了，死去的电磁场突然攻击我。,4,2022-08-28 08:48:14,37
三千年的渴望,花花,明年奥斯卡最佳服装设计预定，相比于主竞赛的了无新意，这部花里胡哨的奇幻电影更符合我的审美。导演有没有兴趣拍一下《大师和玛格丽特》？,4,2022-05-23 21:13:59,33
三千年的渴望,阿萧&花花,确实是小众片，喜欢的就很喜欢，不喜欢的就不喜欢，因为get到的点完全不一样……太共鸣了而哭了两次,5,2022-09-04 09:45:22,23
三千年的渴望,咯咯精,这是什么奇怪有效的化学反应…终极imaginary friend，太暖了。,4,2022-05-21 20:13:50,30
三千年的渴望,艾小柯,Delicious! 视觉及韵味，人类对故事的渴望，对讲述的迷恋也被故事化。归根结底，人类到底寻求什么呢，爱欲、知识还是生命与时间本身？故事是分享、复述与重现，是欲望的载体和最终获得永生的唯一方法。最后的最后，一切故事的终点依然汇总于爱，自由、给予和牺牲。爱是最高信仰。,4,2022-09-12 13:04:56,11
三千年的渴望,双晚,B+. 前半段用大开大合的闪回结构，把爱情萌芽的细线缝进历史“故事”和讲故事的过程，既有恢弘的气魄，也有幽深的温柔。更重要的是，它参透了爱情的本质：某种对既定故事的想象与期许。后半段回归正序，反倒变得散而冗长了。2022.5.21 Agnès Varda,4,2022-06-01 03:52:18,16
三千年的渴望,胡萝卜侠,"Cannes2022 5.20 特别喜欢tilda这个人物的设定，初期的平淡到对情感建立的欲望真的太动人了。I can feel your scent, you are anywhere. 特别喜欢的情节是Jinnee两次出来证实自己是真实的不是幻想的，还是挺温柔的。",4,2022-05-23 00:05:47,16
三千年的渴望,SunshineSun,只看了一遍，没办法讲清楚，只讲很浅显的一些看法吧：很多很明显的隐喻。开头就讲，神话和故事，有迹可循。其实讲的是现实中女人三千年来的希冀与自我、欲望、情爱，等等。还有女人的地位。精灵讲的故事，也有阶段性：女人三千年来，地位从女王（所罗门王的歌唱是代表“花言巧语”吧，床上两人体位的变化后，精灵就被封印了），到只知情爱的愚昧女奴隶，（还有一闪而过的大马士革城市总督的肥胖妃子），到蒙昧小妾，到现代社会的所谓独立女性。还有大量对话里的隐喻。可能要多看几遍才能看明白这部电影。一开始女主讲过的小时候幻想中的小男孩，我觉得是在隐喻精灵也是幻想中的。第二段故事里波斯后宫里，两个王子不同“功能”也有隐喻。暂时先这些了。,4,2022-09-18 22:18:10,12
三千年的渴望,舌在足矣,奇诡浪漫，所求唯爱，Tilda Swinton两年之内参演本片以及《记忆》两部内核极其相似的作品，大概也是命中注定吧,4,2022-08-26 09:54:35,2
三千年的渴望,水西桥畔,电影是一梦，三千是一好梦。因为解读出什么或没解读出什么打低分的，你们看的真的是电影吗？,5,2022-09-25 20:15:38,14
三千年的渴望,Rose,中老年女性对爱的幻想，虽然一直为自己打上独立不怕孤独不需要爱的标签，但内心还是很寂寞😂有点拧巴。但正是这份拧巴，应该能给很多女性带来共鸣吧？不愿将就，内心却希望有真正的爱出现。如果第一个愿望是要求“爱”的话，灯神就无法grant第二第三个愿望，因为爱是无条件的付出。最后女主也为爱“付出”，给了灯神自由。这是虚无还是幻想呢？真的能做到不被邻居和世人的闲言碎语所影响吗？ （活在幻想里或许真的能对抗这些吧,4,2022-08-30 00:36:05,10
三千年的渴望,Ber_雪碧,好看的哲理童话，无欲无求的女学者+被困住几千年的精灵，选角太棒了。,4,2022-09-19 12:30:06,3
三千年的渴望,kylegun,想找人一起孤独，但许愿获得爱情的同时，就已然剥夺了对方去爱的能力；既然来自不同世界，不必强求一生一世，若有缘相见，且讲讲彼此的故事……George Miller思绪老矣，玩心依旧,5,2022-10-02 01:47:50,2
三千年的渴望,Elvina,无可挑剔的视效与隽永的叙述腔调令人入迷，但是精致框架大于具体情节，这是奇幻小说影视化的通病。除了沉醉知识的少女另几个故事都不算奇妙特别，智慧、权力、欲望可以交织出多么璀璨的追求，然而偏偏都是（）的女性捡到瓶子纠结出了（）的愿望。也不能说这是一个爱情故事，至少在我看来故事里的几对和女主与精灵他们都只是被困在自己的渴望迷障中而为其安上爱情的假名。女主许愿后氛围显然不如之前，情节更是彻底摆烂。不过还是挺享受这趟故事旅程，一些巧思也颇值回味。精灵实现愿望也要讲究逻辑方法，不是挥挥手就能摆在眼前唾手可得。而当精灵无法实现已然拥有足够的人类时，祂们就不再有存在的必要。即人类对神灵的需求以及祂们能否适应现代生活的另类存在主义危机。其实都是人类中心主义的傲慢，当我们无助时寄托于神，当我们自满时就不再祈愿。,4,2022-10-07 11:01:36,0
三千年的渴望,обломов,精灵用了三千年的时光见证人类的欲念仇恨和贪婪，最终却因为学会了爱而得到释放,4,2022-09-19 08:31:44,0
三千年的渴望,寒狐传媒,要是男的捡到瓶子就简单多了。,4,2022-10-03 07:37:55,0
三千年的渴望,帕拉,华丽的运镜就足够享受了。,4,2022-09-19 21:21:35,0
