movie_name,id,short_comment,score,comment_time,votes
沙丘,健三快跑,大家好，我叫蒂莫西.甜茶。身在贵族家，老爸奥斯卡。母亲力量大，杀人靠说话。海王好兄弟，师傅是灭霸。女友赞达亚，绿了蜘蛛侠。世界很复杂，没人说人话。生来责任大，代价祭全家。皇帝人在哪，看我弄死他。,4,2021-10-23 15:07:21,16475
沙丘,查拉图斯特拉K,引用一条外媒口碑：“当下看《沙丘》，就像身处1968年看《2001太空漫游》”,5,2021-09-04 11:18:26,9887
沙丘,陀螺凡达可,像是用《银翼杀手2049》的方式拍《星球大战》。其实故事主线挺简单明了，世界观架构的巨大信息量被铺陈在极富节奏感的叙事呼吸之中，因此就算对沙丘世界观/故事毫无认知也能轻松沉浸到电影中，两个半小时稍纵即逝。镜头在人物局部特写和大全景之间刻画出了史诗感（值得一提出色的剪辑），很多戏的拍法刻意回避了好莱坞商业大片中一贯的特效冲击和视觉刺激（动作戏的从简、战争戏的省略、甚至空中追逐戏的视角限制），反而通过视听氛围营造去推动叙事、牵引情绪。,4,2021-09-03 20:32:45,5917
沙丘,夏树,奇观轰炸，设定控一本满足，尽可能的还原了小说前半部分的世界观和剧情（因为小说太长了所以只能拍到这个篇幅），摄影和构图真的美到失语。这是一部看了会由衷觉得“电影能被发明出来真是太好了”的作品。,5,2021-09-04 01:41:04,5323
沙丘,百变小咪,谁懂，全片最有性张力的片段不是保罗与梦中情人蓝眼睛的实打实的接吻，而是与他妈妈在脱衣服时尴尬的眼神相交。,4,2021-10-24 16:31:45,4608
沙丘,CG-prince,我感觉我看了一个两个半小时的预告片,4,2021-10-22 21:32:36,4360
沙丘,鬼腳七,汉斯季默小金人+1，维伦纽瓦封神进度+20%，对原作的取舍很合适，甜茶的表现也比想象好，保罗厄崔迪前半段的纤细感和后段的转变都拿捏到位。原著党满意。,4,2021-09-03 10:07:43,3612
沙丘,桃桃林林,这种片子我们不给高分，还有谁给高分，猫眼淘票票么？全程起范儿，逼格满满。这是一部很独特的科幻大片，即便这样的故事本可以做得特别商业、特别热闹。但维伦纽瓦还是将之纳入个人风格当中，使得影片呈现一种宏大、悲怆、宗教味以及仪式感。尤其是汉斯季默的宏大配乐一路轰鸣，史诗感也就出来了。未必适合所有人，但真的全是我的嗨点，很爽。,4,2021-10-22 19:07:37,2690
沙丘,paradise,如果说《边境杀手》是维伦纽瓦誉为好导演的助推器，《降临》是让他成为顶尖导演的证物，《银翼杀手2049》是他进阶为“王”的登基石，那么《沙丘》就是帮他稳住“神”这一称号的光环,5,2021-09-03 23:18:46,3023
沙丘,刘导,维神让沙丘这颗掩埋了半个世纪的宝石在沙漠中闪耀 他也必将在影史名垂青史 熠熠生辉,5,2021-09-04 01:04:01,2477
沙丘,牛三牛,顶级视听观影享受，服化道究极用心，细节设计多有惊喜，太空史诗气势磅礴。作为一个宏大作品的开篇确实足够优秀，三个世界被音乐、色彩、质感营造得极好，刻意反高潮的处理也并没有导致全片拖沓无聊。略感遗憾的是，大量口播的背景交代虽用心排布，还是稍显突兀；大光圈梦境有些过量了，观感有些疲惫；另外，几个重要角色在性格厚度上都略有欠缺，以至观众更多的是被世界观架构震撼，而非情感共鸣。可以预期，经此役铺陈完设定，故事更放开手脚后，此系列的下部一定会更牛B。,4,2021-09-04 13:19:29,2055
沙丘,德小科,厄拉克斯的崛起，王子的复仇。维伦纽瓦开启了本世纪第三个十年最震撼的科幻系列。三分《降临》三分《星球大战》再加四分《银翼杀手2049》，在融合各种创造力和视觉奇观的基础上，维神又带创造出了新的科幻语法，靠高超的剪辑和音乐设计让作品有了可怕的“通感力”，编织出一个沉浸式的史诗的世界。绝对不要错过IMAX版本！！！,4,2021-09-03 17:34:41,1919
沙丘,喜儿喂鸭正经地,看到张震出来的时候太激动了，看到他说中文更激动，看到甜茶回答中文更更激动，以至于我完全没听清他们在说什么。。。(¬_¬),4,2021-09-19 06:37:27,1396
沙丘,花花,威尼斯非竞赛单元全球首映，万众期待的《沙丘》。1.一部各方面都处于高水准的杰作。今夜，漫天黄沙掩过了水城威尼斯。2.维伦纽瓦在封神的道路上更进一步但仍未抵达属于他的王座。3.汉斯季默放弃诺兰的《信条》选择《沙丘》是明智的。4.《沙丘》的主体取自弗兰克赫伯特的同名原著科幻小说，由维伦纽瓦的个人风格和美学铸就了其内核，好莱坞工业体系构成了其外在。5.维伦纽瓦野心勃勃，沙丘宇宙诞生之时，纽瓦取代库布里克之日。,4,2021-09-04 04:36:41,961
沙丘,Norloth,一定要去电影院看，这样就可以戴着口罩体验身临其境了（。,4,2021-10-22 13:33:29,742
